Age,Interest,Career
46,Technology,Musician
42,Aviation,Electrical Engineer
31,Gaming,Data Scientist
39,Technology,Photographer
19,Science,Mathematician
57,Robotics,Mechanical Engineer
58,Sports,Nurse
60,Aviation,Robotics Engineer
54,Gaming,Marketing Manager
54,Robotics,Software Engineer
54,Teaching,Musician
28,Business,Musician
29,Music,Astronomer
54,Sports,Accountant
23,Art,Pilot
47,Construction,Accountant
50,Art,AI Engineer
36,Music,Entrepreneur
55,Mathematics,Mechanical Engineer
35,Art,Economist
29,Technology,Civil Engineer
43,Cooking,Musician
59,Teaching,Mathematician
20,Aviation,Mathematician
53,Robotics,Electrical Engineer
36,Aviation,Mechanical Engineer
36,Photography,Economist
60,Robotics,AI Engineer
60,Robotics,Marketing Manager
53,Gaming,Game Developer
33,Medicine,Robotics Engineer
60,Photography,Architect
22,Construction,Electrical Engineer
44,Construction,Biologist
21,Robotics,Robotics Engineer
39,Cooking,Accountant
23,Technology,Robotics Engineer
58,Gaming,Pilot
34,Science,Musician
60,Science,Game Developer
21,Sports,Pilot
56,Photography,Graphic Designer
41,Art,Teacher
47,Medicine,Actor
19,Sports,Cybersecurity Specialist
56,Construction,Journalist
54,Aviation,AI Engineer
46,Construction,Entrepreneur
54,Art,Economist
54,Mathematics,Cybersecurity Specialist
47,Art,Civil Engineer
46,Construction,Robotics Engineer
37,Law,Game Developer
39,Sports,Game Developer
32,Music,Electrical Engineer
32,Cooking,Mechanical Engineer
31,Aviation,Musician
27,Aviation,Mathematician
56,Gaming,Chef
33,Technology,Chef
48,Teaching,Cybersecurity Specialist
45,Photography,Journalist
27,Robotics,Scientist
55,Travel,Journalist
46,Law,Cybersecurity Specialist
21,Travel,Photographer
53,Science,Mechanical Engineer
48,Art,Journalist
53,Teaching,Economist
56,Art,Social Worker
50,Photography,Graphic Designer
35,Robotics,Entrepreneur
56,Mathematics,Cybersecurity Specialist
55,Aviation,Civil Engineer
19,Law,Entrepreneur
60,Medicine,Software Engineer
44,Cooking,Marketing Manager
50,Cooking,Architect
18,Construction,Doctor
52,Sports,Marketing Manager
36,Photography,Architect
20,Music,Biologist
48,Aviation,Data Scientist
47,Medicine,Journalist
58,Teaching,Economist
29,Construction,Robotics Engineer
56,Music,Game Developer
18,Travel,Marketing Manager
44,Medicine,Social Worker
55,Photography,Game Developer
30,Art,Doctor
24,Medicine,Biologist
36,Medicine,Mathematician
47,Construction,Scientist
43,Photography,Architect
51,Music,Game Developer
27,Law,Lawyer
59,Aviation,Data Scientist
41,Law,Robotics Engineer
37,Mathematics,Musician
21,Cooking,Civil Engineer
40,Science,Civil Engineer
45,Technology,Electrical Engineer
55,Gaming,Software Engineer
56,Science,Game Developer
24,Mathematics,Entrepreneur
58,Photography,Accountant
58,Science,Entrepreneur
35,Cooking,Architect
34,Cooking,Photographer
47,Gaming,Mathematician
36,Mathematics,Doctor
57,Technology,Accountant
20,Construction,Pilot
26,Teaching,Cybersecurity Specialist
33,Science,Civil Engineer
24,Art,Photographer
56,Mathematics,Lawyer
44,Robotics,Nurse
21,Aviation,Civil Engineer
25,Teaching,Journalist
56,Medicine,Economist
52,Aviation,Electrical Engineer
52,Music,Architect
50,Business,Photographer
38,Technology,Economist
29,Sports,Biologist
39,Cooking,Cybersecurity Specialist
54,Music,AI Engineer
58,Mathematics,Software Engineer
29,Technology,Doctor
22,Gaming,Electrical Engineer
19,Mathematics,Astronomer
45,Medicine,Electrical Engineer
19,Music,Photographer
33,Construction,Robotics Engineer
52,Music,Social Worker
28,Science,Chef
22,Art,Pilot
56,Robotics,Astronomer
31,Science,Scientist
39,Technology,Lawyer
48,Construction,Entrepreneur
38,Mathematics,Pilot
42,Sports,AI Engineer
42,Gaming,Social Worker
42,Photography,Graphic Designer
29,Medicine,Teacher
44,Gaming,Journalist
19,Construction,AI Engineer
36,Mathematics,Actor
56,Medicine,Photographer
24,Technology,Chef
22,Cooking,Social Worker
20,Aviation,Teacher
58,Mathematics,Astronomer
46,Photography,Electrical Engineer
57,Photography,Chef
45,Science,Cybersecurity Specialist
56,Business,Robotics Engineer
51,Mathematics,Mathematician
28,Travel,Journalist
57,Travel,Mathematician
32,Aviation,AI Engineer
56,Robotics,Journalist
56,Sports,Marketing Manager
25,Cooking,Musician
57,Medicine,Pharmacist
38,Construction,Architect
39,Construction,Accountant
38,Teaching,Pharmacist
32,Science,Entrepreneur
23,Mathematics,AI Engineer
54,Teaching,Chef
36,Construction,Accountant
50,Science,Entrepreneur
18,Gaming,Electrical Engineer
58,Cooking,Economist
43,Teaching,Civil Engineer
47,Sports,AI Engineer
39,Aviation,Pilot
56,Business,Nurse
33,Photography,Doctor
